SR No.,CompanyName,Post,JobID,Type,Location,Skills,CTC,AppliedThrough,Comments,DateApplied,Link1,Link2
72,Turing,Data Analyst,,Internship,Remote,English · Analytical Skills · Datasets · Jupyter · Python (Programming Language) · Databases · Data Analysis · Data Analytics · Data Science · Communication,25k/m,LinkedIn (Call-Mail),,01-02-2024,https://www.linkedin.com/jobs/view/3808869213/?alternateChannel=search&refId=R541lKzCC4%2FXb2RH9SIZyA%3D%3D&trackingId=2%2BuU6q8IBUPHcIvWa11mnw%3D%3D,
73,Rotork,Data Analyst,,Full-time,Chennai,"Data Analytics, Data Cleaning, Data Visualization, Databases, Communication, Creative Problem Solving, Data Architecture. Data Profiling, Problem-Solving. Stored Procedures",ND,LinkedIn,Process of Company (If given),01-02-2024,https://www.linkedin.com/jobs/view/3801878997/?refId=jT6QbcIcRmahWFppG8Oc%2Fw%3D%3D&trackingId=%2BhbE4LYZSmyVtDYb8sqHPg%3D%3D,
74,Novo,Data Analyst,,Full-time,Gurugram,Data Analysis · Python (Programming Language) · SQL,ND,LinkedIn,,01-02-2024,https://www.linkedin.com/jobs/view/3814388987/?trackingId=O6mYyBd1TBKVI%2FGk8hxXbA%3D%3D&refId=SxcBUROES8idAkAwtDbIXQ%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=3XNPhCluzG2b81&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body-null-b14rw0~ls1lrpjc~ij-null-null&eid=b14rw0-ls1lrpjc-ij&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGUxYmQ4YmNkZDg0MzkxYTk4YjYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZmUyMWFkNWRlZTE1OGIzYWNDYmU0M2E0ODZiNWZiMTFlMTM3MzZmMjA4ODQ1MWY3MCwxLDE%3D,
75,Air India Express,Data Scientist,2816,Full-time,Gurugram,Analytics · Statistical Data Analysis · Statistics · Data Engineering · Data Visualization · Deep Learning · Data Analytics · Predictive Analytics · Natural Language Processing (NLP) · Cascading Style Sheets (CSS),ND,,,01-02-2024,https://fa-eron-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/2816/?_ga=2.19367608.1640123447.1695995853-1519609838.1694519951&_gl=1*s5u8a1*_gcl_au*MjAxOTgwNjgxOS4xNjk0NTE5OTUx*_ga*MTUxOTYwOTgzOC4xNjk0NTE5OTUx*_ga_GMMG1HYTVG*MTY5NTk5NTg1Mi4xMzUuMS4xNjk1OTk1ODY4LjQ0LjAuMA..*_ga_KJWBC0BP9P*MTY5NTk5NTg1Mi40NS4xLjE2OTU5OTU4NjguNDQuMC4w&mode=location,
76,ZOHO,Software Developer,,Full-time,ND,"C, C++ & Java",ND,Official website,,01-02-2024,https://careers.zohocorp.com/forms/fcc89b5ebd373d598e0224d10f2199d1a8839a1914d1ba3a141e0b0ddcfcfc32,
77,LatentView,Analyst Data Science,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, cloud platforms such as AWS, Azure, GCP etc would be preferable",ND,Naukri.com,,03-02-2024,https://www.naukri.com/job-listings-020224009050,
78,Innovaccer,Customer Data Operation - II,,Full-time,Noida,"Health insurance, Application support, Skill development, Healthcare power bi Subject Matter Expert Analytics SQL Python",ND,Naukri.com,,03-02-2024,https://www.naukri.com/job-listings-080124500494,
79,RapiPay Fintech,Business Analyst,,Full-time,Noida,Business Analysis Change Management Risk Assessment Impact Analysis Data Analysis Process Modeling Data Modeling Quality Assurance,ND,Naukri.com,,03-02-2024,https://www.naukri.com/job-listings-180124910822,
80,Silverline Prestige School Part Of Silverline Educ Silverline Education Trust,Data Analyst,,,"Ghaziabad,Uttar Pradesh, Delhi / NCR","Power Bi, Data Analysis, Tableau, SQL, Python, GCP, Data Visualization, Looker, Web Development",ND,Naukri.com,,03-02-2024,https://www.naukri.com/job-listings-150124002278,
81,Avaari,Artificial Intelligence (AI),,Internship with Job offer (1 Month),Chennai,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python","₹ 25,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/artificial-intelligence-ai-part-time-job-internship-at-multiple-locations-in-avaari1705675076,
82,Jambudweep Shodh Kendra,Data Analytics,,Internship  with Job offer(2 Month),WFH,"Data Analysis, Data Analytics, Data Science, MS-Excel , MS-PowerPoint, NoSQL, Power BI, Python, R Programming, SQL, Tableau","₹ 4,000-15,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/work-from-home-part-time-data-analytics-internship-at-jambudweep-shodh-kendra1706902404,
83,Reach Technologies,Data Science,,Internship (3 Months),WFH,Data Analytics,"₹ 10,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/work-from-home-part-time-data-science-internship-at-reach-technologies1706509023,
84,MentorBoxx,Data Science,,Internship (1 Months),WFH,"Data Analytics, Data Science, Python, SQL","₹ 18,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/work-from-home-part-time-data-science-internship-at-mentorboxx1706167610,
85,Pianalytix Edutech Private Limted,Data Science,,Internship (3 Months),WFH,"Data Science, Machine Learning, Python","₹ 8,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-pianalytix-edutech-private-limted1706022100,
86,Buddha Education Association Incorporation,Machine Learning,,Internship (2 Months),,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming","₹ 25,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/part-time-machine-learning-internship-in-multiple-locations-at-buddha-education-association-incorporation1706953847,
87,Buddha Education Association Incorporation,Artificial Intelligence (AI),,Internship (1 Months),,"Data Structures, Natural Language Processing (NLP), Python","₹ 25,000 /month",Internshala,,03-02-2024,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-multiple-locations-at-buddha-education-association-incorporation1706953784,
88,Benovymed Healthcare,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,,Full-time,"Noida, Gurgaon, Delhi / NCR","Machine Learning, Data Science, Tensorflow, NLP, Data Scientist, Artificial Intelligence, Data Modeling, Numpy, Deep Learning, Python",ND,Naukri.com,,03-02-2024,https://www.naukri.com/job-listings-250124908100,
89,ExpertXai Technologies,Data Analytics / Analyst,Job ID: 79750,Full-time,Remote,"data, data analysis, data visualization, visualization, datasets, interpreting, skills, python, SQL","₹400,000/yr - ₹500,000/yr",LinkedIn,,03-02-2024,https://www.linkedin.com/jobs/view/3821338556/?alternateChannel=search&refId=S09SOPjRhl4QP%2FKUOxTvxA%3D%3D&trackingId=lsn8col85SR3ax%2FzIkDMLQ%3D%3D,
90,Talent Disruptors,Data Analyst,,Full-time,Remote,"Google Data Studio, BigQuery, and Power BI, ",ND,LinkedIn,,03-02-2024,https://www.linkedin.com/jobs/view/3821314456/?alternateChannel=search&refId=S09SOPjRhl4QP%2FKUOxTvxA%3D%3D&trackingId=iMuImYqbOhpXD5U%2FAQwY4A%3D%3D,
91,Innometrics Solutions,Junior Data Analyst (Python/SQL),Job ID: 79729,Full-time,Remote,"data, analytics, data analytics, skills, google, python, sql, articulate, business requirements","₹400,000/yr - ₹500,000/yr",LinkedIn,,03-02-2024,https://www.linkedin.com/jobs/view/3821306785/?alternateChannel=search&refId=S09SOPjRhl4QP%2FKUOxTvxA%3D%3D&trackingId=Hfyxye8P5kkiCXrKEsg8KQ%3D%3D,
92,Innometrics Solutions,Data Analyst / Analytics,Job ID: 79732,Full-time,Remote,"Primary Skill: Data Analysis, SQL, Tableau, Looker, Python and ML","₹400,000/yr - ₹500,000/yr",LinkedIn,,03-02-2024,https://www.linkedin.com/jobs/view/3821304743/?alternateChannel=search&refId=S09SOPjRhl4QP%2FKUOxTvxA%3D%3D&trackingId=aEX6Rr5PUFuErSk9XStb9A%3D%3D,
93,PERSOLKELLY,Data Analyst,,Full-time,Bangalore,,ND,LinkedIn,,03-02-2024,https://www.linkedin.com/jobs/view/3821251985/?alternateChannel=search&refId=S09SOPjRhl4QP%2FKUOxTvxA%3D%3D&trackingId=aDM6z%2FVcrQWLBZ3tXMkc9A%3D%3D,
94,Axtria,Analyst,100 opening,Full-time,"Pune, Noida, Hyderabad (hybrid)",analytics Java Excel data science SQL Python,ND,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-310124910617,
95,JioSaavn,Data Analyst,,Full-time,"Navi Mumbai, Maharashtra, Mumbai (All Areas)","R, Python, SQL",ND,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-010224008802,
96,Silver Eng,Data Analyst,,,"Mumbai, Pune",Data Science Data Analysis Data Analyst Testing,ND,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-020224904962,
97,17live,Serial Plotter - Technical Data Analyst,,,Noida ,"Statistics/ML, Statistics, Probability, or Information Retrieval,  Python (R is a plus), Relational databases, SQL, Pandas, Numpy, Sklearn, Matplotlib, Seaborn, data manipulation.",7-9 Lacs P.A.,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-010224009342,
98,Bombay Play,Data Analyst,,,Bangalore,"C++, Analytical Machine learning.  Javascript, Data Analyst, Open source, Statistics Analytics SQL Python",ND,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-020224501624,
99,Findem,Researcher - Data Operations Intern,,Internship (6 Months),Remote,"Excel, Machine learning, Analytics",₹10000/month,Naukri.com,,04-02-2024,https://www.naukri.com/job-listings-100124501004,
100,iTech,Machine Learning,ITECH0235,Internship ,Chennai,"Machine Learning fundamentals and algorithms, Python, and familiarity with ML libraries like TensorFlow or PyTorch is a plus.",ND,Official website,,04-02-2024,https://itech.keka.com/careers/jobdetails/53468?utm_source=Machine_Learning_Internship_unstop&utm_medium=listing&utm_campaign=unstop,
101,Arcadis,Graduate Data Analyst,19819,Full-Time,Bangalore,"Proficient in RDBMS - SQL, Build mathematical models in Python, Power BI",ND,Official website,,04-02-2024,https://careers.arcadis.com/job/ARCAGLOBAL19819ORCEXTERNALENGLOBAL/Graduate-Data-Analyst?utm_medium=career%2Bsite&utm_source=external%2Bcareer%2Bsite,
102,Amazon,Data Analyst,2547347,Full-Time,Bangalore,"SQL skills, Microsoft Excel, SQL/Python/R, scripting, MS Excel, table joins, and aggregate analytical functions",ND,Official website,,05-02-2024,https://www.amazon.jobs/en-gb/jobs/2547347/data-analyst,
103,Arich InfoTech,Train & Hire,,Full-Time,"Bangalore/Bengaluru, Pune, Tamil Nadu","BE/BTech,ME/MTech,MCA,MSc - All Stream 2021,2022,2024 Fresher’s- Train & Hire Off Campus Drive of A Leading I.T.MNC","INR 4,01,986 PA",Naukri.com,,05-02-2024,https://www.naukri.com/mnjuser/inbox,
104,WinZO,Data Analyst,,Full-Time,Remote,"Analytical Skills, Business Insights, Dashboards, Data Analysis, Data Analytics, Communication, Data Acquisition, Forecasting, New Business Opportunities, Tech Savy",ND,LinkedIn,,05-02-2024,https://www.linkedin.com/jobs/view/3815718633/?refId=55fbf818-af60-4c72-808f-57a72d838941&trackingId=Iadz6UT0QlqGImoIz1%2BIdw%3D%3D&trk=flagship3_job_home_savedjobs,
105,RazorPay,Analytics Specialist,,Full-Time,Bengaluru,Apply karna hai (asked for referral),,,,05-02-2024,https://www.linkedin.com/jobs/view/3822752810,
106,Aris Infra,Data Analyst,,Full-Time,Bengaluru,"Analytical Skills, Analytics , Data Analysis, Data Analytics, Data Mining, Mathematics, SQL, Statistics, Ad Hoc Analysis, Big Data",ND,LinkedIn,,05-02-2024,https://www.linkedin.com/jobs/view/3820204711,
107,Clue (Global),Data Analyst,,Full-Time,Remote,"Data Analysis, Data Visualization, Python (Programming Language), SQL, Statistics, Problem Solving",ND,Official website,,05-02-2024,https://secure.collage.co/jobs/clue/42963,
108,NextGen Technologies ·,Data Science Intern,,Internship (02 Months),Remote,,₹8000 - ₹10000 /month,Official website,Process of Company (If given),05-02-2024,https://jobs.gohire.io/letsintern-ntkind0s/data-science-intern-159188/,
109,Jar,Data Analyst,,Full-Time,Bengaluru,Data Analysis · Data Analytics · NumPy · Pandas (Software) · Python (Programming Language) · Tableau · VBA Excel · Amplitude Analytics · Reporting,ND,LinkedIn,,06-02-2024,https://www.linkedin.com/jobs/view/3815685498,
110,ConcertAI,Data Analyst,P-100158,Full-Time,Bengaluru,,ND,Official website,,06-02-2024,https://careers.concertai.com/us/en/job/COQCONUSP100158EXTERNALENUS/Data-Analyst?utm_source=linkedin&utm_medium=phenom-feeds,
111,Chubb,Data Analyst,,Full-Time,,Beautiful Soup · Python (Programming Language) · Selenium (Web scrapping),ND,LinkedIn,,06-02-2024,https://www.linkedin.com/jobs/view/3814256560,
112,WPP,Data Analyst,,Full-Time,Mumbai,"Data Visualization · Data Science · Analytics · Data Analytics · Analytical Skills · Extract, Transform, Load (ETL) · Attention to Detail · Technical Documentation · Problem Solving · Ad Hoc Analysis",ND,LinkedIn,,06-02-2024,https://boards.greenhouse.io/wpp/jobs/7055244002?gh_src=c778a4492us,https://www.linkedin.com/jobs/view/3788137565
113,Ivalua,Data Analyst,,Full-Time,Pune,"Excel, and Google Sheets for data analysis, reporting and dashboard, Google Suite, ",ND,Official website,,06-02-2024,https://boards.greenhouse.io/ivalua/jobs/5671745?gh_jid=5671745,https://www.linkedin.com/jobs/view/3822461385/
114,TCS,Python Developer,,Full-Time,,"Python (Django, Flask), Numpy",ND,LinkedIn,,13-01-2024,https://www.linkedin.com/jobs/view/3788969881,
115,Creditsafe Technology,Junior Data Analyst,,Full-Time,Hyderabad,"Data Analysis · SQL · SQL Server Integration Services (SSIS) · Visual Basic for Applications (VBA),  No SQL, Java, Python ",ND,LinkedIn,,08-02-2024,https://www.linkedin.com/jobs/view/3822756542,
116,EstateDekho ·,Data Analyst,,Full-Time,Hyderabad,"
Data Analysis, Microsoft Power BI, Quantitative Research, and SQL, Business Analysis, Business Development, Business Strategy, Data Research, Stakeholder Engagement, and Strategic Plann",ND,LinkedIn,,08-02-2024,https://www.linkedin.com/jobs/view/3702289603,
117,World Compliance Technologies,Data Analyst,,Full-Time,Gurugram,Analytical Skills · Data Analysis · Data Analytics · Data Mining · Python (Programming Language) · SQL · Research Skills,ND,LinkedIn,,08-02-2024,https://www.linkedin.com/jobs/view/3824014562,
118,V5 Global Services Private Limited,Data Analyst,,Full-Time,Bengaluru,"Data Analysis, Data Analytics, Data Science, SQL, and VBA Excel ,Attention to Detail, Data Modeling, Data Models, Design Development, and Skill Development",ND,LinkedIn,,08-02-2024,https://www.linkedin.com/jobs/view/3819925617,
119,GreedyGame,Data Analyst,,Full-Time,Bengaluru,"Analytical Skills, Business Analytics, Data Analysis, Data Visualization, and SQL, Ad Tech, Analytic Problem Solving, Critical Thinking, Google BigQuery, and Logical Approach",ND,LinkedIn,,08-02-2024,https://www.linkedin.com/jobs/view/3817868186,
120,Radix,Data Analyst,,Full-Time,Mumbai,"SQL, Python, R, or Tableau. data cleaning, transformation, and analysis. data analysis and visualization",ND,Website/LinkedIn,,09-02-2024,https://jobs.lever.co/directi/2d127227-b090-4a76-a7e0-4b2ef79a37f5?source=6,https://www.linkedin.com/jobs/view/3707208756
121,Elite Met Solutions,Junior Data Analyst (Python/Power BI),80534,Full-Time,Remote,"Data Analysis, Data Analytics, Microsoft Applications, and Microsoft Power BI, Abstracting, Acceptance Testing, Monitoring Performance, Requirements Analysis, Thinking Skills, and Workload Prioritizati","₹400,000/yr - ₹500,000/yr",Website/LinkedIn,,09-02-2024,,https://www.linkedin.com/jobs/view/3824537468
122,ZS Associates,Decision Analytics Associate,,Full-Time,Pune,,ND,Naukri.com Invitation,,09-02-2024,,
123,O1Labs.ai,Data Analyst (Python),,Full-Time,Bengaluru,Data Science · Machine Learning · Microsoft Excel · Pandas (Software) · Predictive Modeling · Python (Programming Language) · SQL · Big Data · Large Language Models (LLM) · Learning,ND,LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3826995318,
124,Leadenhall Analytics,Data Analyst,,Full-Time,Remote,Analytical Skills · Data Analysis · Data Analytics · Data Science · Microsoft Power BI · SQL · Reporting & Analysis,ND,LinkedIn,Assessment Pending,11-02-2024,https://www.linkedin.com/jobs/view/3827335662,
125,BayOne Solutions,Business/Data Analyst,,Contract (12 month),Remote,"SQL, Tableau, Excel, including pivot tables, formulas, and data visualization techniques.",ND,LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3822654900,
126,Innometrics Solutions,Data Analyst,,Full-Time,Remote,"data,skills,sql,robotics,tableau,basic,communication,communication skills,dashboard","₹400,000/yr - ₹500,000/yr",LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3827582314,
127,MedTourEasy,Data Analytics Trainee,,Internship,Remote,"Analytics, Data Analytics, and Project Management, Communication, Defining Requirements, Easily Adaptable, Learning, Presentations, Programmes, and Reporting
",ND,LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3822674999,
128,Technofactorx AI,Data Analyst (Fresher / Python/SQL Expert),,Full-Time,Remote,,"₹400,000/yr - ₹500,000/yr",LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3827579926,
129,Tree Top Staffing LLC,Data Analyst,,Full-Time,Remote,Analytics · Data Analysis · Data Analytics · KPI Dashboards · Microsoft Excel · Pivot Tables · Python (Programming Language) · IBM SPSS · Linear Regression · Time Management,ND,LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3827575834,
130,AKS ProTalent,Data Analyst,,Full-Time,Remote,"Business Analytics, Data Analysis, Data Analytics, Data Science, and Statistical Data Analysis, Big Data Analytics, Business Analysis, Financial Analysis, HR Analytics, and Quality Analysis",ND,LinkedIn,GForm ,11-02-2024,https://www.linkedin.com/jobs/view/3822602509,
131,OneBanc,Data Scientist,,Full-Time,Gurugram,"Knowledge of SAS, ETL, Data Processing
Skilled in ML/AI Models, Statistics, Python
Awareness of Data Analysis, Algorithm Design
",ND,LinkedIn,,11-02-2024,https://www.linkedin.com/jobs/view/3822670061,
132,ANAXT SYSTEM,Data Analyst Data Science -Engineer,,Full-Time,WFH (Pune),"Email ID: anaxturia1@gmail.com, Contact: +91 7249537542, Timing: 10 AM to 5PM",ND,Website ,Mail,12-02-2024,https://www.anaxt.co.in/services.html,
133,Viney Ji Enterprises,Data analyst,,Part-Time,WFH (Pune),,"16,000 - 21,400
 per month",Apna.com,,12-02-2024,https://apna.co/job/nashik/data-analyst-877110802?search=true,
134,Cadila Pharmaceuticals Ltd,Data analyst,,Full-Time,Hyderabad,"Power BI, MySQL, SPSS, Data analytics, Data management, Data visualisation, Programming languages","55,000 - 75,000 per month",Apna.com,,12-02-2024,https://apna.co/job/hyderabad/data-analyst-989841931?search=true,
135,24X7 Easy Recruitz,Data analyst,,Full-Time,Chennai,,"15,000 - 85,000 per month",Apna.com,,12-02-2024,https://apna.co/job/chennai/data-analyst-413986200?search=true,
136,ProMobi Technologies,Data analyst,,Full-Time,Pune,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data,ND,LinkedIn,,12-02-2024,https://www.linkedin.com/jobs/view/3827686570,
137,OneOrigin,Data analyst,,Full-Time,Bengaluru,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data,ND,LinkedIn,,12-02-2024,https://www.linkedin.com/jobs/view/3823726572,
138,Smollan India Private Limited,Business Analytics,,Internship (4 months),Remote,"Data Analytics, English Proficiency (Spoken), MS-Excel, MS-PowerPoint, Research and Analytics","₹ 15,000 /month",Internshala,,12-02-2024,https://internshala.com/internship/detail/work-from-home-business-analytics-internship-at-smollan-india-private-limited1707750344,
139,Isourse,Business Analytics,,Internship (6 Months),Delhi,"Business Analysis, Business Research, Data Analysis, Data Analytics, English Proficiency (Spoken), Jira, Power BI, Python, Research and Analytics, SQL","₹ 20,000 /month",Internshala,,12-02-2024,https://internshala.com/internship/detail/business-analytics-internship-in-delhi-at-isourse1707735982,
140,MNC Client,Data Scientist- Junior / Senior MNC,,Full-Time,Pune/Banglore/Mumbai,"python, Data Science, Artificial Intelligence, Excel Sheet, Data Analytics, SQL",8-18 Lacs P.A.,Naukri.com ,,15-02-2024,https://www.naukri.com/job-listings-140224007331,
141,Nxtwave Disruptive Technologies,Data analyst,,Full-Time,Hyderabad,"Data Analytics, Google Data Studio, Power Bi, redshift, Bigquery, Data Management, looker studio, Snowflake, Data Analysis, Tableau, Python, SQL",ND,Naukri.com ,Assessment done,15-02-2024,https://www.naukri.com/job-listings-140224010646,
142,OneOrigin ,Data analyst,,Full-Time,Bengaluru,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data,ND,LinkedIn,,15-02-2024,https://www.linkedin.com/jobs/view/3827271419,
143,Tree Top Staffing LLC APJ,Data analyst,,Full-Time,Remote,Analytics · Data Analysis · Data Analytics · KPI Dashboards · Microsoft Excel · Pivot Tables · Python (Programming Language) · IBM SPSS · Linear Regression · Time Management,ND,LinkedIn,,15-02-2024,https://www.linkedin.com/jobs/view/3830708918,
144,BayOne Solutions,Business/Data Analyst (Excel),,Contract (12 month),Remote,"SQL, Tableau, MS Excel, including pivot tables, formulas, and data visualization techniques",ND,LinkedIn,,15-02-2024,https://www.linkedin.com/jobs/view/3827244324,
145,sugar.fit,Data analyst,,Full-Time,Bengaluru,"Analytical Skills · Data Analysis · Data Extraction · Data Mining · Data Science · SQL · VBA Excel · Evidence · Key Performance Indicators · Multitasking
",ND,LinkedIn,,15-02-2024,https://www.linkedin.com/jobs/view/3827286975,
146,Avaari,Data Scientist,,Full-Time,Work from home,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL","₹ 2,40,000 - 7,00,000",Internshala,,17-02-2024,https://internshala.com/job/detail/fresher-remote-data-scientist-job-at-avaari1708059110?referral=student_digest_active,
147,Maple Capital Advisors,Junior Data Analyst,,Full-Time,New Delhi,,ND,LinkedIn,,17-02-2024,https://www.linkedin.com/jobs/view/3829314572,
148,SymphonyAI,Data Science,,Intern,Bengaluru,Analytics · Artificial Intelligence (AI) · Machine Learning Algorithms · Data Visualization · Pandas (Software) · Exploratory Data Analysis · Data Science · Data Analytics · Data Extraction · Data Manipulation,ND,LinkedIn,,17-02-2024,https://www.linkedin.com/jobs/view/3829319492,
149,NetApp,Data Scientist,125201,Full-Time,Bengaluru,Statistics · Mathematics · Pattern Recognition · Machine Learning · Natural Language Processing (NLP) · Artificial Intelligence (AI) · Applied Mathematics · Data Science · Communication · Computer Science,ND,LinkedIn,,17-02-2024,https://www.linkedin.com/jobs/view/3829576711,
150,Virtualness,Data Analyst,,Full-Time,Remote,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Big Data,ND,LinkedIn,GForm - Link,17-02-2024,https://www.linkedin.com/jobs/view/3821164698,
151,Snowflake,Data Engineer,7216925002,Internship,Pune,,ND,LinkedIn,,17-02-2024,https://careers.snowflake.com/us/en/job/SNCOUS7216925002EXTERNALENUS/Data-Engineer-Intern?utm_medium=phenom-feeds&utm_source=linkedin&gh_src=ed5543a62,
152,TekJobs,Business Systems Analyst,,Full-Time,Remote (Hyderabad),Databases · Microsoft SQL Server,ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3827901860,
153,TekJobs,Data Engineer,,Full-Time,Remote (Chennai),Databases · Microsoft SQL Server,ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3827901835,
154,Gridware,Junior Data Analyst,,Full-Time,Remote (Hyderabad),Statistics · Data Visualization · Analytics · Data Analysis · Data Science · Data Analytics · Problem Solving · Real-time Data · Daily Reports · Anomaly Detection,"$12,000- $18,000",LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3832753095,
155,Adtitude Digital,Business Analyst,,Full-Time,Remote,"Technology and tools: Slack, SQL, Excel , Tableau, Power BI or Looker Studio, Gmail and Google Calendar, Google Drive, Google Docs & Google Sheet, Basics of Microsoft Excel, Ability to search and learn online",INR 400K + Performance Bonus,LinkedIn,6:00 PM to 4:00 AM (Night Time IST),19-02-2024,https://www.linkedin.com/jobs/view/3828511091,
156,TestGrid.io,Business Analyst,,Full-Time,Remote,,,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3831393618,
157,BayOne Solutions,Business/Data Analyst (Excel),,Contract (12 month),Remote,"SQL, Tableau, MS Excel, including pivot tables, formulas, and data visualization techniques.",ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3829177747,
158,MLH Agency,Data Analyst,,Part-Time,Remote,SQL,ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3833518246,
159,MedTourEasy,Data Analyst,,Internship,Remote,,ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3830311219,
160,Nagarro,Trainee,,Internship,Remote,,ND,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3794671398,
161,Peroptyx,Data Analyst,,Contract (12 month),Remote,,ND,LinkedIn,,19-02-2024,https://connect.peroptyx.com/job-openings/4zgx6-2/?key=wdpgfvhz&submissionGuid=08b2d9f5-978e-4f32-98f7-b837dc37b51c,https://connect.peroptyx.com/dashboard/
162,Goodera,Data Analytics,,Internship (3 Months),Remote,"Data Analysis, MS-Excel","₹ 15,000-16,000 /month",Internshala,,19-02-2024,https://internshala.com/internship/detail/work-from-home-part-time-data-analytics-internship-at-goodera1708088425,
163,Sandhan Learning,Business Analytics,,Internship (3 Months),Remote,"Client Relationship, Data Analytics, English Proficiency (Spoken), Research and Analytics","₹ 5,000 /month + Incentives",Internshala,,19-02-2024,https://internshala.com/internship/detail/work-from-home-business-analytics-internship-at-sandhan-learning1708318951,
164,Cleantech Solar,Data Analytics,,Internship (3 Months),Remote,"Data Analytics, Linux, Power BI, Python, R Programming, Shell Scripting, SQL","₹ 25,000 /month",Internshala,,19-02-2024,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-cleantech-solar1707457006,
165,ProductIn,Analyst,,Internship,Remote (Banglore),,₹5000 - ₹10000,LinkedIn,,19-02-2024,https://www.linkedin.com/jobs/view/3830331246,
166,Winged Recruitment,Data Analyst,,Internship,Remote (Chennai),"Python, SQL",ND,LinkedIn,,19-02-2024,https://www.careers-page.com/winged-recruitment/job/QV787XY6?utm_medium=free_job_board&utm_source=linkedin,https://www.linkedin.com/jobs/view/3833377564
167,Sumo Logic,Data Analyst,,Full-Time,Bengaluru,"SQL, Python, Data Stack Libraries (Numpy, Pandas, Matplotlib, Seaborn, IPython, Jupyter Notebooks), Tableau/Looker, ",ND,LinkedIn,,20-02-2024,https://www.linkedin.com/jobs/view/3816674505,
168,OneOrigin,Data Analyst,,Full-Time,Bengaluru,"Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, etc.), and programming (XML, Javascript, or ETL frameworks), Excel",ND,LinkedIn,,20-02-2024,https://www.linkedin.com/jobs/view/3830322549,
169,Trailytics,Data Scientist,,Full-Time,Remote,"Data Science, Statistics, and Data Analytics skills, Data Visualization and Data Analysis skills, data modeling, machine learning, and algorithms, Python, ",ND,LinkedIn,,20-02-2024,https://www.linkedin.com/jobs/view/3830358378,
170,MAANG Assistance,Data Analyst,,Full-Time,Remote,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data,ND,LinkedIn,,20-02-2024,https://www.linkedin.com/jobs/view/3830376687,
