SR No.,CompanyName,Post,JobID,Type,Location,Skills,AppliedThrough,DateApplied,Application Status,Application Notes,Comments
146,Clue (Global),Data Analyst,,Full-Time,Remote,"Data Analysis, Data Visualization, Python (Programming Language), SQL, Statistics, Problem Solving",Official website,05-02-2024,No Response,No response received,
147,NextGen Technologies Â·,Data Science Intern,,Internship (02 Months),Remote,,Official website,05-02-2024,Rejected,Consider other opportunities,Process of Company (If given)
148,Jar,Data Analyst,,Full-Time,Bengaluru,Data Analysis Â· Data Analytics Â· NumPy Â· Pandas (Software) Â· Python (Programming Language) Â· Tableau Â· VBA Excel Â· Amplitude Analytics Â· Reporting,LinkedIn,06-02-2024,No Response,No response received,
149,ConcertAI,Data Analyst,P-100158,Full-Time,Bengaluru,,Official website,06-02-2024,Proceed with Another Candidate,Consider other opportunities,
150,Chubb,Data Analyst,,Full-Time,,Beautiful Soup Â· Python (Programming Language) Â· Selenium (Web scrapping),LinkedIn,06-02-2024,Proceed with Another Candidate,Consider other opportunities,
151,WPP,Data Analyst,,Full-Time,Mumbai,"Data Visualization Â· Data Science Â· Analytics Â· Data Analytics Â· Analytical Skills Â· Extract, Transform, Load (ETL) Â· Attention to Detail Â· Technical Documentation Â· Problem Solving Â· Ad Hoc Analysis",LinkedIn,06-02-2024,No Response,No response received,
152,Ivalua,Data Analyst,,Full-Time,Pune,"Excel, and Google Sheets for data analysis, reporting and dashboard, Google Suite, ",Official website,06-02-2024,No Response,No response received,
153,Sandhan Learning,Data Analyst,,Full-time,Hyderabad,"SQL, Python libraries (Matplotlib, Seaborn), Machine Learning",Indeed,06-02-2024,No Response,No response received,
154,Rekruton Technologies,Decision Analytics Associate,,Full-time,Hyderabad,"Tableau, SQL, Machine Learning",Naukri,07-02-2024,Rejected,Consider other opportunities,
155,Creditsafe Technology,Junior Data Analyst,,Full-Time,Hyderabad,"Data Analysis Â· SQL Â· SQL Server Integration Services (SSIS) Â· Visual Basic for Applications (VBA),  No SQL, Java, Python ",LinkedIn,08-02-2024,No Response,No response received,
156,EstateDekho Â·,Data Analyst,,Full-Time,Hyderabad,"
Data Analysis, Microsoft Power BI, Quantitative Research, and SQL, Business Analysis, Business Development, Business Strategy, Data Research, Stakeholder Engagement, and Strategic Plann",LinkedIn,08-02-2024,No Response,No response received,
157,World Compliance Technologies,Data Analyst,,Full-Time,Gurugram,Analytical Skills Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Python (Programming Language) Â· SQL Â· Research Skills,LinkedIn,08-02-2024,No Response,No response received,
158,V5 Global Services Private Limited,Data Analyst,,Full-Time,Bengaluru,"Data Analysis, Data Analytics, Data Science, SQL, and VBA Excel ,Attention to Detail, Data Modeling, Data Models, Design Development, and Skill Development",LinkedIn,08-02-2024,No Response,No response received,
159,GreedyGame,Data Analyst,,Full-Time,Bengaluru,"Analytical Skills, Business Analytics, Data Analysis, Data Visualization, and SQL, Ad Tech, Analytic Problem Solving, Critical Thinking, Google BigQuery, and Logical Approach",LinkedIn,08-02-2024,No Response,No response received,
160,iXceed Solution,Data Analytics / Analyst,,Full-time,Bangalore,"Python libraries (Matplotlib, Seaborn), Statistics, Jupyter Notebook, Deep Learning",Indeed,08-02-2024,No Response,No response received,
161,Radix,Data Analyst,,Full-Time,Mumbai,"SQL, Python, R, or Tableau. data cleaning, transformation, and analysis. data analysis and visualization",Website/LinkedIn,09-02-2024,No Response,No response received,
162,Elite Met Solutions,Junior Data Analyst (Python/Power BI),80534,Full-Time,Remote,"Data Analysis, Data Analytics, Microsoft Applications, and Microsoft Power BI, Abstracting, Acceptance Testing, Monitoring Performance, Requirements Analysis, Thinking Skills, and Workload Prioritizati",Website/LinkedIn,09-02-2024,Proceed with Another Candidate,Consider other opportunities,
163,ZS Associates,Decision Analytics Associate,,Full-Time,Pune,,Naukri.com Invitation,09-02-2024,No Response,No response received,
164,Bytical,Data Analyst,,Full-Time,Chennai,"Statistics, Machine Learning, Jupyter Notebook, NLP",LinkedIn,09-02-2024,Proceed with Another Candidate,Consider other opportunities,
165,RazorPay,Market Research Analyst,,Full-time,Chennai,"Pandas, SQL",Internshala,09-02-2024,No Response,No response received,
166,Right Customer,Data Scientist,,Full-Time,Bangalore,"SQL, Statistics",LinkedIn,10-02-2024,No Response,No response received,
167,Zyla Health,Data Scientist,,Full-Time,Mumbai,"Excel, Power BI, Google Sheets, Pandas",Naukri,10-02-2024,Proceed with Another Candidate,Consider other opportunities,
168,O1Labs.ai,Data Analyst (Python),,Full-Time,Bengaluru,Data Science Â· Machine Learning Â· Microsoft Excel Â· Pandas (Software) Â· Predictive Modeling Â· Python (Programming Language) Â· SQL Â· Big Data Â· Large Language Models (LLM) Â· Learning,LinkedIn,11-02-2024,No Response,No response received,
169,Leadenhall Analytics,Data Analyst,,Full-Time,Remote,Analytical Skills Â· Data Analysis Â· Data Analytics Â· Data Science Â· Microsoft Power BI Â· SQL Â· Reporting & Analysis,LinkedIn,11-02-2024,Rejected,Consider other opportunities,Assessment Pending
170,BayOne Solutions,Business/Data Analyst,,Contract (12 month),Remote,"SQL, Tableau, Excel, including pivot tables, formulas, and data visualization techniques.",LinkedIn,11-02-2024,No Response,No response received,
171,Innometrics Solutions,Data Analyst,,Full-Time,Remote,"data,skills,sql,robotics,tableau,basic,communication,communication skills,dashboard",LinkedIn,11-02-2024,No Response,No response received,
172,MedTourEasy,Data Analytics Trainee,,Internship,Remote,"Analytics, Data Analytics, and Project Management, Communication, Defining Requirements, Easily Adaptable, Learning, Presentations, Programmes, and Reporting
",LinkedIn,11-02-2024,Rejected,Consider other opportunities,
173,Technofactorx AI,Data Analyst (Fresher / Python/SQL Expert),,Full-Time,Remote,,LinkedIn,11-02-2024,No Response,No response received,
174,Tree Top Staffing LLC,Data Analyst,,Full-Time,Remote,Analytics Â· Data Analysis Â· Data Analytics Â· KPI Dashboards Â· Microsoft Excel Â· Pivot Tables Â· Python (Programming Language) Â· IBM SPSS Â· Linear Regression Â· Time Management,LinkedIn,11-02-2024,No Response,No response received,
175,AKS ProTalent,Data Analyst,,Full-Time,Remote,"Business Analytics, Data Analysis, Data Analytics, Data Science, and Statistical Data Analysis, Big Data Analytics, Business Analysis, Financial Analysis, HR Analytics, and Quality Analysis",LinkedIn,11-02-2024,No Response,No response received,GForm 
176,OneBanc,Data Scientist,,Full-Time,Gurugram,"Knowledge of SAS, ETL, Data Processing
Skilled in ML/AI Models, Statistics, Python
Awareness of Data Analysis, Algorithm Design
",LinkedIn,11-02-2024,No Response,No response received,
177,Right Customer,Data Analyst,,Full-Time,Hyderabad,"Jupyter Notebook, Statistics, NLP, Power BI",Internshala,11-02-2024,No Response,No response received,
178,ANAXT SYSTEM,Data Analyst Data Science -Engineer,,Full-Time,WFH (Pune),"Email ID: anaxturia1@gmail.com, Contact: +91 7249537542, Timing: 10 AM to 5PM",Website ,12-02-2024,No Response,No response received,Mail
179,Viney Ji Enterprises,Data analyst,,Part-Time,WFH (Pune),,Apna.com,12-02-2024,Proceed with Another Candidate,Consider other opportunities,
180,Cadila Pharmaceuticals Ltd,Data analyst,,Full-Time,Hyderabad,"Power BI, MySQL, SPSS, Data analytics, Data management, Data visualisation, Programming languages",Apna.com,12-02-2024,No Response,No response received,
181,24X7 Easy Recruitz,Data analyst,,Full-Time,Chennai,,Apna.com,12-02-2024,No Response,No response received,
182,ProMobi Technologies,Data analyst,,Full-Time,Pune,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,12-02-2024,No Response,No response received,
183,OneOrigin,Data analyst,,Full-Time,Bengaluru,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,12-02-2024,Proceed with Another Candidate,Consider other opportunities,
184,Smollan India Private Limited,Business Analytics,,Internship (4 months),Remote,"Data Analytics, English Proficiency (Spoken), MS-Excel, MS-PowerPoint, Research and Analytics",Internshala,12-02-2024,No Response,No response received,
185,Isourse,Business Analytics,,Internship (6 Months),Delhi,"Business Analysis, Business Research, Data Analysis, Data Analytics, English Proficiency (Spoken), Jira, Power BI, Python, Research and Analytics, SQL",Internshala,12-02-2024,No Response,No response received,
186,MNC Client,Data Analyst,,Full-Time,Chennai,"SQL, TensorFlow",Naukri,12-02-2024,No Response,No response received,
187,Ozibook Tech Solutions Private Limited,Data Analytics Associate,,Full-Time,Hyderabad,"Machine Learning, Power BI, Python",LinkedIn,13-02-2024,No Response,No response received,
188,GRANICUS,Python Trainer & Developer,,Full-time,Bangalore,"Pandas, Machine Learning, SQL, Deep Learning",Internshala,14-02-2024,No Response,No response received,
189,MNC Client,Data Scientist- Junior / Senior MNC,,Full-Time,Pune/Banglore/Mumbai,"python, Data Science, Artificial Intelligence, Excel Sheet, Data Analytics, SQL",Naukri.com ,15-02-2024,No Response,No response received,
190,Nxtwave Disruptive Technologies,Data analyst,,Full-Time,Hyderabad,"Data Analytics, Google Data Studio, Power Bi, redshift, Bigquery, Data Management, looker studio, Snowflake, Data Analysis, Tableau, Python, SQL",Naukri.com ,15-02-2024,No Response,No response received,Assessment done
191,OneOrigin ,Data analyst,,Full-Time,Bengaluru,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,15-02-2024,No Response,No response received,
192,Tree Top Staffing LLC APJ,Data analyst,,Full-Time,Remote,Analytics Â· Data Analysis Â· Data Analytics Â· KPI Dashboards Â· Microsoft Excel Â· Pivot Tables Â· Python (Programming Language) Â· IBM SPSS Â· Linear Regression Â· Time Management,LinkedIn,15-02-2024,No Response,No response received,
193,BayOne Solutions,Business/Data Analyst (Excel),,Contract (12 month),Remote,"SQL, Tableau, MS Excel, including pivot tables, formulas, and data visualization techniques",LinkedIn,15-02-2024,No Response,No response received,
194,sugar.fit,Data analyst,,Full-Time,Bengaluru,"Analytical Skills Â· Data Analysis Â· Data Extraction Â· Data Mining Â· Data Science Â· SQL Â· VBA Excel Â· Evidence Â· Key Performance Indicators Â· Multitasking
",LinkedIn,15-02-2024,No Response,No response received,
195,iTech,Data Analyst,,Full-Time,Bangalore,"TensorFlow, Jupyter Notebook, Python libraries (Matplotlib, Seaborn)",Internshala,15-02-2024,No Response,No response received,
196,Avaari,Data Scientist,,Full-Time,Work from home,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",Internshala,17-02-2024,No Response,No response received,
197,Maple Capital Advisors,Junior Data Analyst,,Full-Time,New Delhi,,LinkedIn,17-02-2024,No Response,No response received,
198,SymphonyAI,Data Science,,Intern,Bengaluru,Analytics Â· Artificial Intelligence (AI) Â· Machine Learning Algorithms Â· Data Visualization Â· Pandas (Software) Â· Exploratory Data Analysis Â· Data Science Â· Data Analytics Â· Data Extraction Â· Data Manipulation,LinkedIn,17-02-2024,Proceed with Another Candidate,Consider other opportunities,
199,NetApp,Data Scientist,125201,Full-Time,Bengaluru,Statistics Â· Mathematics Â· Pattern Recognition Â· Machine Learning Â· Natural Language Processing (NLP) Â· Artificial Intelligence (AI) Â· Applied Mathematics Â· Data Science Â· Communication Â· Computer Science,LinkedIn,17-02-2024,No Response,No response received,
200,Virtualness,Data Analyst,,Full-Time,Remote,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Big Data,LinkedIn,17-02-2024,No Response,No response received,GForm - Link
201,Snowflake,Data Engineer,7216925002,Internship,Pune,,LinkedIn,17-02-2024,No Response,No response received,
202,TestGrid.io,Data Analyst / Data Scientist,,Full-Time,Mumbai,"Statistics, Python libraries (Matplotlib, Seaborn), TensorFlow, Pandas",Indeed,18-02-2024,No Response,No response received,
203,Rekruton Technologies,Data Analyst,,Internship (3 Months),Chennai,"Pandas, Google Sheets",Internshala,18-02-2024,No Response,No response received,
204,TekJobs,Business Systems Analyst,,Full-Time,Remote (Hyderabad),Databases Â· Microsoft SQL Server,LinkedIn,19-02-2024,Rejected,Consider other opportunities,
205,TekJobs,Data Engineer,,Full-Time,Remote (Chennai),Databases Â· Microsoft SQL Server,LinkedIn,19-02-2024,No Response,No response received,
206,Gridware,Junior Data Analyst,,Full-Time,Remote (Hyderabad),Statistics Â· Data Visualization Â· Analytics Â· Data Analysis Â· Data Science Â· Data Analytics Â· Problem Solving Â· Real-time Data Â· Daily Reports Â· Anomaly Detection,LinkedIn,19-02-2024,Rejected,Consider other opportunities,
207,Adtitude Digital,Business Analyst,,Full-Time,Remote,"Technology and tools: Slack, SQL, Excel , Tableau, Power BI or Looker Studio, Gmail and Google Calendar, Google Drive, Google Docs & Google Sheet, Basics of Microsoft Excel, Ability to search and learn online",LinkedIn,19-02-2024,No Response,No response received,6:00 PM to 4:00 AM (Night Time IST)
208,TestGrid.io,Business Analyst,,Full-Time,Remote,,LinkedIn,19-02-2024,No Response,No response received,
209,BayOne Solutions,Business/Data Analyst (Excel),,Contract (12 month),Remote,"SQL, Tableau, MS Excel, including pivot tables, formulas, and data visualization techniques.",LinkedIn,19-02-2024,No Response,No response received,
210,MLH Agency,Data Analyst,,Part-Time,Remote,SQL,LinkedIn,19-02-2024,No Response,No response received,
211,MedTourEasy,Data Analyst,,Internship,Remote,,LinkedIn,19-02-2024,No Response,No response received,
212,Nagarro,Trainee,,Internship,Remote,,LinkedIn,19-02-2024,No Response,No response received,
213,Peroptyx,Data Analyst,,Contract (12 month),Remote,,LinkedIn,19-02-2024,No Response,No response received,
214,Goodera,Data Analytics,,Internship (3 Months),Remote,"Data Analysis, MS-Excel",Internshala,19-02-2024,No Response,No response received,
215,Sandhan Learning,Business Analytics,,Internship (3 Months),Remote,"Client Relationship, Data Analytics, English Proficiency (Spoken), Research and Analytics",Internshala,19-02-2024,No Response,No response received,
216,Cleantech Solar,Data Analytics,,Internship (3 Months),Remote,"Data Analytics, Linux, Power BI, Python, R Programming, Shell Scripting, SQL",Internshala,19-02-2024,No Response,No response received,
217,ProductIn,Analyst,,Internship,Remote (Banglore),,LinkedIn,19-02-2024,No Response,No response received,
218,Winged Recruitment,Data Analyst,,Internship,Remote (Chennai),"Python, SQL",LinkedIn,19-02-2024,Rejected,Consider other opportunities,
219,GreedyGame,Business Analyst,,Full-Time,Delhi,"Power BI, Statistics, Pandas",Official Website,19-02-2024,No Response,No response received,
220,Sumo Logic,Data Analyst,,Full-Time,Bengaluru,"SQL,â€¨Python, Data Stack Libraries (Numpy, Pandas, Matplotlib, Seaborn, IPython, Jupyter Notebooks), Tableau/Looker, ",LinkedIn,20-02-2024,Proceed with Another Candidate,Consider other opportunities,
221,OneOrigin,Data Analyst,,Full-Time,Bengaluru,"Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, etc.), and programming (XML, Javascript, or ETL frameworks), Excel",LinkedIn,20-02-2024,No Response,No response received,
222,Trailytics,Data Scientist,,Full-Time,Remote,"Data Science, Statistics, and Data Analytics skills, Data Visualization and Data Analysis skills, data modeling, machine learning, and algorithms, Python, ",LinkedIn,20-02-2024,Rejected,Consider other opportunities,
223,MAANG Assistance,Data Analyst,,Full-Time,Remote,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,20-02-2024,No Response,No response received,
224,Academy of Management Studies (AMS),Data Analyst,,Contract (12 month),Kochi,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,20-02-2024,Proceed with Another Candidate,Consider other opportunities,
225,Sumo Logic,Data Analyst,,Full-Time,Bengaluru,"SQL, Python, Spreadsheet tools like Google Sheets, Excel and BI Tools like Tableau, Looker etc.",LinkedIn,20-02-2024,No Response,No response received,
226,Apperture,Data Analyst,,Full-Time,Bengaluru,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Big Data,LinkedIn,20-02-2024,Proceed with Another Candidate,Consider other opportunities,
227,SAZ India,Data Analyst / Data Scientist,83185,Full-Time,Remote,"Robot Framework, Python, Test Case Design, Skills: data, models, design,ml, organization,python,SQL, excel",LinkedIn,20-02-2024,Rejected,Consider other opportunities,
228,Bhanzu,Technical Data Analyst,,Full-Time,Bengaluru,Microsoft Excel Â· Data Analysis Â· Data Visualization Â· Data Analytics Â· Visualization Â· SQL Â· Databases Â· Data Wrangling Â· Relational Databases Â· Problem Solving,LinkedIn,20-02-2024,No Response,No response received,
229,ENZER COMPONENTS LIMITED,Data Entry Analyst,,Full-Time,Remote,"Microsoft Office Suite (Word, Excel, Outlook), ",LinkedIn,20-02-2024,No Response,No response received,
230,Neilsen,Data Analyst,,Full-time,Hyderabad,"NLP, Pandas, SQL",LinkedIn,20-02-2024,No Response,No response received,
231,RapiPay Fintech,Data Visualization/Tableau Developer,,Full-Time,Delhi,"SQL, Statistics",Official Website,20-02-2024,No Response,No response received,
232,Siemens Healthineers,unior Data Engineer,,Full-Time,Delhi,"Data Analytics, Pandas, Machine Learning, NLP",Naukri,20-02-2024,No Response,No response received,
233,TCS,Data Science Intern,,Full-time,Delhi,"Data Analytics, Jupyter Notebook, Machine Learning, Power BI",LinkedIn,22-02-2024,No Response,No response received,
234,WhiteSlips Job Management Consultants,Data Analyst / Data Scientist (Power BI / Python),,Full-Time,Hyderabad,"Python libraries (Matplotlib, Seaborn), TensorFlow, Tableau, Google Sheets",Indeed,25-02-2024,No Response,No response received,
235,Turing,Research Analyst,,Full-Time,Chennai,"TensorFlow, Machine Learning, Tableau, Statistics",Internshala,26-02-2024,Rejected,Consider other opportunities,
236,Jambudweep Shodh Kendra,Data Analyst,,Contract (12 month),Bangalore,"Python libraries (Matplotlib, Seaborn), NLP, Python",LinkedIn,26-02-2024,No Response,No response received,
237,Terrabit Consulting,Data Support Analyst,,Contract (12 month),Bengaluru,"Analytical Skills and Operating Systems, Help Desk Support, Technical Support, and Troubleshooting",Official website,28-02-2024,No Response,No response received,
238,Colt Technology Services,Data Analyst,,Full-Time,Bengaluru,Databases Â· Data Management Â· Data Analytics Â· Visualization Â· Data Science Â· Data Visualization Â· Ticketing Systems Â· Data Quality Â· Written Communication Â· Communication,LinkedIn,28-02-2024,No Response,No response received,
239,Elite Met Solutions,Data Analyst / Data Scientist (Power BI / Python),,Full-Time,Remote,"Build data systems and pipelines, Interpret trends and patterns, SQL database design, Conduct complex data analysis and report on results",LinkedIn,28-02-2024,No Response,No response received,
240,Louis Dreyfus Company,unior Data Engineer,,Full-Time,Bengaluru,"Python (Programming Language) Â· Dashboards Â· Data Analytics Â· Databases Â· Extract, Transform, Load (ETL) Â· Data Science Â· Data Engineering Â· Data Warehousing Â· Oral Communication Â· Communication",Official website,28-02-2024,No Response,No response received,
241,Bootes Impex Tech Ltd.,Data Insights Architect,,Full-Time,Gurugram,"Business Insights Â· Data Analysis Â· Data Science Â· Extract, Transform, Load (ETL) Â· SQL Â· VBA Excel Â· Data Integration Â· Data Intelligence Â· Operations Â· Power Tools",LinkedIn,28-02-2024,No Response,No response received,
242,Lennox India Technology Centre,Data Analytics,,Full-Time,Hyderabad,"Pandas, TensorFlow",Indeed,28-02-2024,No Response,No response received,
243,Akamai Technologies,Data Engineer,,Full-Time,Remote,"Data Cleaning, Data Engineering, Datasets, Extract, Transform, Load (ETL), and SQL, Data Governance, Data Ingestion, Data Pipelines, Oracle SQL Developer, and Pardot",LinkedIn,29-02-2024,Proceed with Another Candidate,Consider other opportunities,
244,Anthrofi,Market Research Analyst,,Full-Time,Remote,"Digital Marketing, Marketing, Research and Analytics, Social Media Marketing, Data collection, Survey design,  Insight generation",Internshala,29-02-2024,Proceed with Another Candidate,Consider other opportunities,
245,Advertalyst Private Limited,Software Development,,Internship (4 months),Remote,,Internshala,29-02-2024,No Response,No response received,
246,Across The Globe (ATG),Business Analytics,,Internship (6 months),Remote,"Business Analysis, Business Research, Digital Marketing, Email Marketing, Social Media Marketing, User Interface (UI) Development, Windows Mobile Application Development",Internshala,29-02-2024,No Response,No response received,
247,JLL,ALM Users - Data Mining,,Full-time,Mumbai,"Tableau, SQL, Python",Internshala,29-02-2024,No Response,No response received,
248,Rekruton Technologies,Data Analyst,,Full-Time,Remote,"Data Analysis, Proficient in SQL",LinkedIn,02-03-2024,Proceed with Another Candidate,Consider other opportunities,
249,Health and Safety,Data Analyst,,Full-Time,Delhi,"Analytical Skills, Analytics, Data Analytics, Databases, and SAS (Software), Communication, Computer Science, Data Modeling, Oral Communication, and Statistical Software",LinkedIn,02-03-2024,No Response,No response received,
250,Bytical,Data Analyst,,Full-Time,Remote,Analytical Skills Â· Analytics Â· Applied Mathematics Â· Data Analysis Â· Data Analytics Â· Data Science Â· Data Visualization Â· Visualization Â· Ad Hoc Analysis Â· Problem Solving,LinkedIn,02-03-2024,No Response,No response received,
251,BayOne Solutions,Business/Data Analyst,,Contract (12 month),Remote,"MS Excel, including pivot tables, formulas, and data visualization techniques, Knowledge of SQL, Tableau",LinkedIn,02-03-2024,No Response,No response received,
252,Barclays,Analyst,90383389,Full-Time,Chennai,"Good communication skill, Able to work in competitive environment. Positive attitude

",Official website,03-03-2024,Rejected,Consider other opportunities,
253,Wonksknow Technologies,Python Trainer & Developer,,Full-Time,Remote,Python,Naukri.com,03-03-2024,No Response,No response received,
254,Gaan Software,Trainee - Development,,Full-Time,Bengaluru,"Coding, Programming, Python Development, Angular Framework",Naukri.com,03-03-2024,Rejected,Consider other opportunities,
255,Sumo Logic,Analyst,,Full-Time,Mumbai,"SQL, Machine Learning",Indeed,03-03-2024,Proceed with Another Candidate,Consider other opportunities,
256,MAANG,Data Analyst,,Full-Time,Mumbai,Analytical Skills Â· Analytics Â· Applied Mathematics Â· Data Analysis Â· Data Analytics Â· Data Science Â· Data Visualization Â· Visualization Â· Ad Hoc Analysis Â· Problem Solving,LinkedIn,04-03-2024,No Response,No response received,
257,WhiteSlips Job Management Consultants,Data Analyst,,Full-Time,Remote,"Microsoft Excel and Pivot Tables, Communication, Hlookups, and VLOOKUP",LinkedIn,04-03-2024,No Response,No response received,
258,Acme Services,Data Analyst,,Full-Time,Gurugram,"Advanced Excel concepts including VBA, Macros, Arrays etc, SQL queries, Power BI/Tableau, Python",LinkedIn,04-03-2024,No Response,No response received,
259,KreditBee,Data Analyst,,Full-Time,Bengaluru,"Python, SQL, pandas, NumPy, Excel - vLookup/Index, Pivots, Visualizations.",hirist.tech,04-03-2024,No Response,No response received,
260,EarnIn,Data Analyst,,,WFH,"NLP, Pandas, Jupyter Notebook",LinkedIn,04-03-2024,No Response,No response received,
261,Razormet Technologies,Data Analyst / Analytics,,Full-Time,Remote,Business Insights Â· Analytics Â· NumPy Â· Visualization Â· Datasets Â· Data Analysis Â· Data Science Â· Pandas (Software) Â· Data Visualization Â· Data Analytics,LinkedIn,05-03-2024,No Response,No response received,
262,Gartner,Data Analyst,,Full-Time,Gurugram,"Excel/Python, SQL, PowerBI , Data Visualization Â· Data Analytics",LinkedIn,05-03-2024,Proceed with Another Candidate,Consider other opportunities,
263,Rapid Consulting Services,Data Analyst,,Full-Time,Bengaluru,Analytical Skills Â· Data Visualization Â· Data Science Â· Data Analysis Â· Dashboards Â· Visualization Â· Data Cleaning Â· Data Analytics Â· Problem Solving Â· Communication,LinkedIn,05-03-2024,No Response,No response received,
264,Convin,Data Labs Intern,,Internship,Remote,"Analytical Skills, Analytics, Data Analytics, Data Science, and Data Visualization, Communication, Presentation Skills, Presentations, Problem Solving, and Statistical Analysis
",LinkedIn,05-03-2024,No Response,No response received,
265,Siemens Healthineers,Technical - Intern,398902,Internship,Bengaluru,"software design, OOPS, design principles & patterns, inter-process communication, multi-threading and data-structures.",Official website,05-03-2024,Proceed with Another Candidate,Consider other opportunities,
266,AstraZeneca,Analyst - Data Steward,R-193747,Full-Time,Chennai,"data management, data analysis, data processing, MS Excel, SQL, MS Word, MS Excel, MS PowerPoint, Python, Power BI",Official website,05-03-2024,No Response,No response received,
267,Hindustan SWM Solutions Pvt Ltd,Data Analyst,,Full-Time,Chennai,"SQL, Python, Microsoft SQL Server, Microsoft Excel, Data analysis skills, Analysis skills, Agile",Indeed,05-03-2024,No Response,No response received,
268,Vikatan Group,Data Analyst,,Full-Time,Chennai,"SQL, Python, Microsoft Excel, Data analytics, Statistics, SciPy, NumPy, Spark, Hadoop",Indeed,05-03-2024,No Response,No response received,
269,Poshmark,Data Analytics,147801,Internship,Chennai,"SQL and MS Excel, Python, data modelling concept, data visualization, basic statistical concepts, MS PowerPoint  ",Official website,05-03-2024,No Response,No response received,
270,QRight Solutions,Project Officer (Business Analyst),,Full-Time,Chennai,"Project planning, Project coordination, Customer relationship management, Data analysis skills, Analysis skills
",Indeed,05-03-2024,No Response,No response received,
271,noon,Business Analyst,,Full-Time,Gurugram,Dashboards Â· Data Analysis Â· Microsoft Excel Â· Python (Programming Language) Â· SQL Â· Business Analysis,LinkedIn,05-03-2024,No Response,No response received,
272,Pocket FM,Data Scientist,,Internship,Remote,"Long Term Optimization, Reinforcement Learning, Bandit Algorithms, Causal Inference, Deep Learning, ",LinkedIn,05-03-2024,No Response,No response received,
273,MakeMyTrip,Product Analyst,,Full-Time,Gurugram,Microsoft Excel Â· Python (Programming Language) Â· SQL,LinkedIn,05-03-2024,No Response,No response received,
274,LatentView,Data Analyst,,Full-Time,WFH,"Python, Python libraries (Matplotlib, Seaborn), Excel",Indeed,05-03-2024,Rejected,Consider other opportunities,
275,Arcadis,Data Analyst,,Full-Time,Bangalore,"NLP, Jupyter Notebook",Internshala,05-03-2024,No Response,No response received,
276,Citi Bank,Business Analyst,24728901,Full-Time,"Chennai, Pune, Mumbai","Advanced SQL,  Excel and Power point, Tableau, Python Packages such as Pandas, Scikit-learn, Seaborn, Numpy, Plotly etc",Official website,06-03-2024,No Response,No response received,
277,The Investment Compass,Data Analytics Associate,,Full-Time,Remote,"Data Analysis, MS-Excel, Python, SQL, Tableau",Internshala,06-03-2024,No Response,No response received,
278,iXceed Solution,Data Analyst,,Full-Time,Chennai,"Tableau, SQL, Python, Data visualization,Analysis skills, Machine learning, Data science, Data analytics, Big data, Analytics",Indeed,06-03-2024,No Response,No response received,
279,EarnIn,Data Visualization & Business Intelligence Specialist,,Full-time,Bangalore,"Pandas, Power BI, Google Sheets, NLP",Internshala,06-03-2024,No Response,No response received,
280,Primenumbers Technologies,Data Analyst,,Internship (4 months),Remote,"Data Analytics, Research and Analytics",Internshala,07-03-2024,No Response,No response received,
281,ASAPP,Customer Data Analyst,,Full-Time,Bengaluru,Data Visualization Â· Data Analytics Â· Analytical Skills Â· Visualization Â· Data Science Â· Dashboards Â· Google Docs Â· RStudio Â· Computer Science Â· Slide Decks,LinkedIn,07-03-2024,No Response,No response received,
282,krtrimaIQ Cognitive Solutions,Data Analyst,,Full-Time,Bengaluru,"Analytical Skills Â· Data Analysis Â· Data Analytics Â· Data Management Â· Data Visualization Â· Databases Â· Extract, Transform, Load (ETL) Â· Statistics Â· Data Modeling Â· Problem Solving",LinkedIn,07-03-2024,No Response,No response received,
283,Ipsos,Research Analyst,815,Full-Time,"Bengaluru, Mumbai",,Official website,07-03-2024,No Response,No response received,
284,Zyla Health,Data Analyst,,Full-Time,Gurugram,"Python, SQL, Advanced Excel (including Macros), Business Intelligence tools (such as Power BI, Tableau), Report automation using multiple tools",LinkedIn,08-03-2024,Proceed with Another Candidate,Consider other opportunities,
